opening,closing
([((([[[[[((([([([(([(([[[([[,]])]]]))]))])])])))]]]]])))])
[(([[([([(([([[([[([((([(([,]))])))])]])]])]))])])]]))]
[[[([[([[(([([[[[(,)]]]])]))]])]])]]]
([(([([([(([([[[[[[[((,))]]]]]]])]))])])]))])
(((((([[[[[(((([[(([,]))]]))))]]]]]))))))
([(([(([([[((,))]])]))]))])
[([([[(([([[[[([([((([[(,)]])))])])]]]])]))]])])]
[[([(([[((([[[(,)]]])))]]))])]]
[[[[[[[([[[(([([((((,))))])]))]]])]]]]]]]
((([[(([((((([([(([((((((([,])))))))]))])])))))]))]])))
[[[[[[((([((((([([[(,)]])])))))])))]]]]]]
[[[[[(((((((((([[((,))]]))))))))))]]]]]
[[([([[(((([[((([,])))]]))))]])])]]
[[[([[[[(((((([[[((([[(([[[[[(,)]]]]]))]])))]]]))))))]]]])]]]
([[[[[[([((([([[([[(((((((,)))))))]])]])])))])]]]]]])
[[[(([(([[(((([[,]]))))]]))]))]]]
([[[(([(([[[[(([[[(([[,]]))]]]))]]]]))]))]]])
((([[([[(([(((([,]))))]))]])]])))
[((((([[[[[([[[[([[([[[[[[(([[,]]))]]]]]])]])]]]])]]]]])))))]
([[[[[[[([(([((((([([[[[((,))]]]])])))))]))])]]]]]]])
(([([([(([[([[[([(([(([((([([,])])))]))]))])]]])]]))])])]))
([([[[[([[[([[([[([([([[[(([,]))]]])])])]])]])]]])]]]])])
[[(([([[[(([[[(([[([[(([((,))]))]])]]))]]]))]]])]))]]
(([[([([[[[([[[[((([([[([([((,))])])]])])))]]]])]]]])])]]))
([([([[((([[(([[[([[([(((([((,))]))))])]])]]]))]])))]])])])
[[(((([([[[[[(([[(([[[(((,)))]]]))]]))]]]]])]))))]]
[[(([[(([([(((([([[[,]]])]))))])]))]]))]]
[[([[(((([[([[[[[([((,))])]]]]])]]))))]])]]
[([([([([[[[(([,]))]]]])])])])]
([[[((((([([,])])))))]]])
(([[[([[([([[([(((,)))])]])])]])]]]))
([(((([([[([(([[[[,]]]]))])]])]))))])
[[(((([((([[([((([([(((,)))])])))])]])))]))))]]
([[[[[([((([[[[[[[(((([[,]]))))]]]]]]])))])]]]]])
([[[([((((((([[,]])))))))])]]])
[[[(((((([(([[[((([,])))]]]))]))))))]]]
([[[(([([[[[([([[[([[,]])]]])])]]]])]))]]])
([[([((([(([[((([[[[((([[[(,)]]])))]]]])))]]))])))])]])
(([[([((([(([([([([(,)])])])]))])))])]]))
[((([[(((((([([[[([,])]]])]))))))]])))]
[[[[[[[[((([[([[[(,)]]])]])))]]]]]]]]
[(((([[[([(([(((((([[([,])]]))))))]))])]]]))))]
(([((([[([[[[[((([[((([,])))]])))]]]]])]])))]))
[[([[[([[([[[[[[[(((((,)))))]]]]]]])]])]]])]]
[[[[[[[[[((([[([[[([(((,)))])]]])]])))]]]]]]]]]
([([[[[[[[[([(((,)))])]]]]]]]])])
([[(([(((([(([((([[((([([(((,)))])])))]])))]))]))))]))]])
([([([([[([[([([([(([[[([([,])])]]]))])])])]])]])])])])
[([[((([((([[[[((([[([((([(,)])))])]])))]]]])))])))]])]
(((([[((([[((((([[[((((((,))))))]]])))))]])))]]))))
[([([([[[[[,]]]]])])])]
([(([((([([[((([(((([(((([([,])]))))]))))])))]])])))]))])
[([([([[[([[(((([(([,]))]))))]])]]])])])]
[[([[[[[([[((([(((([([[(,)]])]))))])))]])]]]]])]]
([[[[[[[(([[(([(([([[(([[[(,)]]]))]])]))]))]]))]]]]]]])
[[[((((([([[([[([(([[((((,))))]]))])]])]])])))))]]]
([((([(((([([(((([([[[([[(((,)))]])]]])]))))])]))))])))])
[[([(([[(([((([[(,)]])))]))]]))])]]
[(((([([(([(((([[([((([(([(,)]))])))])]]))))]))])]))))]
[(((([([(([[[([[([,])]])]]]))])]))))]
[(([([([(([([([[([((([[[([(([(,)]))])]]])))])]])])]))])])]))]
[([((([(((([([[((((([[[[((([,])))]]]])))))]])]))))])))])]
(([((((([[((([[[(([[[([[[([[,]])]]])]]]))]]])))]])))))]))
([[[[[([[(([[(([[,]]))]]))]])]]]]])
[[[(([(([(([[[[(((((([([[(([[,]]))]])]))))))]]]]))]))]))]]]
([[[[[[(((([[([[[[[,]]]]])]]))))]]]]]])
(((([([[[[[[([([[[[[[[([[([((,))])]])]]]]]]])])]]]]]])]))))
[[((([(((([[(((([[[[[[[(,)]]]]]]]))))]]))))])))]]
([([[[((([[[[[([[(([(([([([(,)])])]))]))]])]]]]])))]]])])
[[([[([((([[(((([[[(([((,))]))]]]))))]])))])]])]]
[(([([[[[([[[([,])]]])]]]])]))]
[[[(((([[([(,)])]]))))]]]
(((([[([[[((([[((([,])))]])))]]])]]))))
(([[(([([((([([,])])))])]))]]))
[([[((([[[(((([([([(([((([[,]])))]))])])]))))]]])))]])]
([([[[[(([[(((([([[([([[[[,]]]])])]])]))))]]))]]]])])
[((((([((([(([([([([[[[,]]]])])])]))])))])))))]
[([(((([((((([(([[(,)]]))])))))]))))])]
((([[[[(([(((([(([((((,))))]))]))))]))]]]])))
[([(((([[[(([([([[[[,]]]])])]))]]]))))])]
[[([(([[[(([[((([[([[[((,))]]])]])))]]))]]]))])]]
[[[([((((([[((([((([(([[[[,]]]]))])))])))]])))))])]]]
[[[((((([[((([[((([[([[[(([(,)]))]]])]])))]])))]])))))]]]
[[(((([([[(,)]])]))))]]
([([(([[[[[[[([(([[([[(,)]])]]))])]]]]]]]))])])
[([[([[([(([[[(([[((,))]]))]]]))])]])]])]
[[(([(([[(([([(([[[(([(((,)))]))]]]))])]))]]))]))]]
[(([[[([[(([,]))]])]]]))]
[([[[((([((((([[(([[(,)]]))]])))))])))]]])]
(([([((((([(([([[([(([[((,))]]))])]])]))])))))])]))
[[([((([(([[[([([[,]])])]]]))])))])]]
([([([(([[(((([[,]]))))]]))])])])
[[([[[[([(([[((([[[[[((,))]]]]])))]]))])]]]])]]
([[(((([[[[([([([([,])])])])]]]]))))]])
(([[[[[([[[[[[([([((([[([[[[[(,)]]]]])]])))])])]]]]]])]]]]]))
([[[([[([[[[([[(([,]))]])]]]])]])]]])
[([[([((([[([[((,))]])]])))])]])]
[(((([(([[[(([[[[((((([((([[[[,]]]])))])))))]]]]))]]]))]))))]
[([[[(([[((([[[[(([[[(,)]]]))]]]])))]]))]]])]
([[[([([([(((,)))])])])]]])
[([([[[[(([[([((([[[(([([([(,)])])]))]]])))])]]))]]]])])]
[[((((([[([[[[[(([[[[[[((,))]]]]]]))]]]]])]])))))]]
([[[[[(([[(((((([[(([,]))]]))))))]]))]]]]])
(((((([(([[,]]))]))))))
([([[([((([([[[[[[[(,)]]]]]]])])))])]])])
(([([(([(((([[[[,]]]]))))]))])]))
((((([(([([[([([([([[((,))]])])])])]])]))])))))
(((([[(([([([[[[[[([[[([[,]])]]])]]]]]])])]))]]))))
([[([(((([([[([[[((,))]]])]])]))))])]])
([(([((([([[[[[[(([,]))]]]]]])])))]))])
[((([[[[(((([[[[([([[([[[((([[,]])))]]])]])])]]]]))))]]]])))]
[[[(((([[([(([[[[(,)]]]]))])]]))))]]]
((([[[([[((((,))))]])]]])))
[[[[[[((((((,))))))]]]]]]
([[(([([(([(((([([[(,)]])]))))]))])]))]])
((([[[([[[[[[([((((,))))])]]]]]])]]])))
[([(((([(([[[(,)]]]))]))))])]
([([[((([[((([[[[((([([(((([,]))))])])))]]]])))]])))]])])
(([([([(([((([(([([[[,]]])]))])))]))])])]))
[[[([([(([[([([[[[[(((,)))]]]]])])]]))])])]]]
[[[((([([(([(([[([[[[((([[[,]]])))]]]])]]))]))])])))]]]
[(([(([(([[([(([([(((([((,))]))))])]))])]]))]))]))]
[([[(([([[[(((((,)))))]]])]))]])]
[([[([[[[[[(([((,))]))]]]]]])]])]
[(((([((([[[[,]]]])))]))))]
[[[[([[[(((([(([[(((([[([[[,]]])]]))))]]))]))))]]])]]]]
[([[([[[[[[([[[([[([([(([[[([(,)])]]]))])])]])]]])]]]]]])]])]
(((([[[[[(([[[[[([([([[([[((,))]])]])])])]]]]]))]]]]]))))
[[[[((((([([(([(,)]))])])))))]]]]
[[[([[((([(([[[(((((([[[[(([[(,)]]))]]]]))))))]]]))])))]])]]]
[(([[(([(([([(((([,]))))])]))]))]]))]
(([([[[[(([(([,]))]))]]]])]))
[((([[([[([[(([[([[(([[([[((,))]])]]))]])]]))]])]])]])))]
[[((([[[((((([[[([(([((,))]))])]]])))))]]])))]]
[([[[([(([([[[(([((([[,]])))]))]]])]))])]]])]
(([([[([(((([([[[[(([[[([[([,])]])]]]))]]]])]))))])]])]))
([([[[[[(([[[([[(((([[(,)]]))))]])]]]))]]]]])])
([(((([[[([[[[([,])]]]])]]]))))])
[[[[[[([(([[[[([((((([[(((((([,]))))))]])))))])]]]]))])]]]]]]
[(([[(([((([([[[([((((([([[(,)]])])))))])]]])])))]))]]))]
((([(([(([[(([([([(((([,]))))])])]))]]))]))])))
[[[((([[((([(((((([,]))))))])))]])))]]]
(([((([[[[[([[(([([((,))])]))]])]]]]])))]))
[[[[((([[([([([([([([[[[((,))]]]])])])])])])]])))]]]]
(([([[(([(((([((([[[((,))]]])))]))))]))]])]))
[([([[((((((,))))))]])])]
(([(([(([[[((([(((([[[[(([[((,))]]))]]]]))))])))]]]))]))]))
(([[(([(([(([((([((,))])))]))]))]))]]))
[[[[[([[[[([[(,)]])]]]])]]]]]
(([(([([(((([[[(([([(,)])]))]]]))))])]))]))
([[[[[[[(((([[[[(,)]]]]))))]]]]]]])
([((([[((((([[[[[(([(([[(([([(,)])]))]]))]))]]]]])))))]])))])
[[[[(([[([([([([((([[[(([(([([,])]))]))]]])))])])])])]]))]]]]
([[[[([[[[([((([[[(([[(,)]]))]]])))])]]]])]]]])
(([[[[(([[((([[[(,)]]])))]]))]]]]))
((([[[([[(((([,]))))]])]]])))
[[[(([[(((([[(([[((([[[([((((,))))])]]])))]]))]]))))]]))]]]
([((([[[([[((,))]])]]])))])
((((((([[([((,))])]])))))))
([(((((([[[[[[[([[([(,)])]])]]]]]]]))))))])
((((([(([([((([[[[(([([((,))])]))]]]])))])]))])))))
((([([[([(([(([([[(,)]])]))]))])]])])))
(([(([[((((([[([[[([[(((,)))]])]]])]])))))]]))]))
(((([(([[[([[[[(([[,]]))]]]])]]]))]))))
[[[[[(([([[[(((,)))]]])]))]]]]]
([([([[([((([(([([[(,)]])]))])))])]])])])
([[[(((([((((([,])))))]))))]]])
[([([[([[[[[([((([[((,))]])))])]]]]])]])])]
[[(([([([([((([([,])])))])])])]))]]
(([(([(([(([[([(((,)))])]]))]))]))]))
[[(([[(([(([[[[[((((([[[[(([,]))]]]])))))]]]]]))]))]]))]]
[((([([[(([([(,)])]))]])])))]
[([[((([[(([[[[((,))]]]]))]])))]])]
([[([[([((((([(([[([((([(([[((,))]]))])))])]]))])))))])]])]])
[([([[((([[[[[[[([[([((([([[(,)]])])))])]])]]]]]]])))]])])]
([[[(([([([[(([[[([([[((,))]])])]]]))]])])]))]]])
[[[([[(([(([(((,)))]))]))]])]]]
[[[((([(([([((([(([[[([([[[[[(,)]]]]])])]]]))])))])]))])))]]]
(([([[(((((((((,)))))))))]])]))
[[[[[[[([[([[([(([((([[[[((,))]]]])))]))])]])]])]]]]]]]
([([(([[((([((([([,])])))])))]]))])])
[[([((((((((((([(([((,))]))])))))))))))])]]
[[[((([[[[([[[([([[[(,)]]])])]]])]]]])))]]]
[[((([((((([([(([([(([,]))])]))])])))))])))]]
((([([((([((((([((((([,])))))])))))])))])])))
([([(([[([[[(((([[[[[([(,)])]]]]]))))]]])]]))])])
[[(([([([[(([([((([[[[([([,])])]]]])))])]))]])])]))]]
[([[([([[(((([((([([([[[[[(([,]))]]]]])])])))]))))]])])]])]
([[(([([[(([[[[[[[(((([[[,]]]))))]]]]]]]))]])]))]])
([[(([([[(([([(([[[,]]]))])]))]])]))]])
[[[(([[[(([((([((([[[,]]])))])))]))]]]))]]]
[([[([(((((((,)))))))])]])]
(((([([[[[(([[((([,])))]]))]]]])]))))
([([([((([[([([[[[((([(((([[[(,)]]]))))])))]]]])])]])))])])])
[(([[([[[([([(([[(([(([([,])]))]))]]))])])]]])]]))]
(((([[([(([([[[(((([((([[(([((,))]))]])))]))))]]])]))])]]))))
[[(((([((([(((((([(([(([[([[(,)]])]]))]))]))))))])))]))))]]
(([[[[[([(([((([([(([(([[[([,])]]]))]))])])))]))])]]]]]))
([[([((((((([[((([[([[(([([[(,)]])]))]])]])))]])))))))])]])
[[[([[(([[(((((([[[(([((,))]))]]]))))))]]))]])]]]
[([[(([([([[(((([[[([([([[(,)]])])])]]]))))]])])]))]])]
([([(([[[(([([[,]])]))]]]))])])
([([([[[([(([[(((,)))]]))])]]])])])
([[([[[[[(([[[[[[(,)]]]]]]))]]]]])]])
(([[[[[([[[((([[([(([([((([[[,]]])))])]))])]])))]]])]]]]]))
[[((((([[((([([(,)])])))]])))))]]
[[([([[([([[[[([[([[[([([(,)])])]]])]])]]]])])]])])]]
([[([[([((,))])]])]])
[([[[[(([([([([([((([[,]])))])])])])]))]]]])]
([[[((([[([(([[[([([,])])]]]))])]])))]]])
((((([(([[(([((([(([[,]]))])))]))]]))])))))
([[([(((((([((([([((((([[[([,])]]])))))])])))]))))))])]])
[(((((([((((((([([([([[[(([(([,]))]))]]])])])])))))))]))))))]
[([[[([[[((([[[(([([[([[(([[((,))]]))]])]])]))]]])))]]])]]])]
[([[[[([([[([([[([([[[,]]])])]])])]])])]]]])]
(([[([[((([((,))])))]])]]))
([[[[([[(([[[[([,])]]]]))]])]]]])
([[(((((([(([(,)]))]))))))]])
([(([[[[(([[(((((,)))))]]))]]]]))])
[[([[(([((([[(,)]])))]))]])]]
[[([[([[([[[[[[[(((([([(([[[,]]]))])]))))]]]]]]])]])]])]]
[[(([(((((([[(([(([(((((,)))))]))]))]]))))))]))]]
[(([[([([[([[[[([(([([[[[[(([,]))]]]]])]))])]]]])]])])]]))]
(([([((([[[([,])]]])))])]))
[[([((([[((([[[[(([((([([[((((,))))]])])))]))]]]])))]])))])]]
[[[([[([[((([,])))]])]])]]]
[[[(([(([[[([[([(([([[([,])]])]))])]])]]]))]))]]]
([(((([[((([(((((([(([[((([(,)])))]]))]))))))])))]]))))])
[[[[(([(([((([(,)])))]))]))]]]]
([((([[(([[([[[(([((((([[(([[[,]]]))]])))))]))]]])]]))]])))])
((([(([(([([[(((([([[[,]]])]))))]])]))]))])))
[[(([[[[([(([(([((([(([[,]]))])))]))]))])]]]]))]]
([((([[(((((([([([,])])]))))))]])))])
[[[[([[[[[((([([(((,)))])])))]]]]])]]]]
([[[([[([([((,))])])]])]]])
([(([((([[([(((([[[[[[[((((([,])))))]]]]]]]))))])]])))]))])
([[([[[[(([(([[[[([([[[[[(,)]]]]])])]]]]))]))]]]])]])
([[[[(([([((([,])))])]))]]]])
[([([(([[(([((([[[[(([([[[[([(,)])]]]])]))]]]])))]))]]))])])]
((([[((([[(,)]])))]])))
[[[[[[(([(([[(([[[[((([(([([(,)])]))])))]]]]))]]))]))]]]]]]
[(([((((([[[([([([([[([[[,]]])]])])])])]]])))))]))]
(([[([((((((([[([[,]])]])))))))])]]))
[([[[(([([([([[[([[,]])]]])])])]))]]])]
(([[(([[(([[[([([([((((([([[(,)]])])))))])])])]]]))]]))]]))
[((([([[[([[[(((((((([[[([[([,])]])]]]))))))))]]])]]])])))]
[[([[[(([([[[([([([[([(([([[[(,)]]])]))])]])])])]]])]))]]])]]
[[([([[[[(([[([[[(,)]]])]]))]]]])])]]
([([([[([([([(([([[[[(,)]]]])]))])])])]])])])
([(((((([[([([[[[(([((,))]))]]]])])]]))))))])
((([([([[((([([[([([,])])]])])))]])])])))
[[([[([[([(((([[([[[[[[[([(,)])]]]]]]])]]))))])]])]])]]
[[[[[([[[[,]]]])]]]]]
[([[[([[[[[([([[[(((([[((,))]]))))]]])])]]]]])]]])]
([((([(([((((((([[[[([,])]]]])))))))]))])))])
((([([([([[([(([[(,)]]))])]])])])])))
[([([[[((([([[(([((([[(([,]))]])))]))]])])))]]])])]
(([([(((([((([[([[([(((((,)))))])]])]])))]))))])]))
[[((([[[([([[[(([[(([(,)]))]]))]]])])]]])))]]
([([[(((((([[[[([,])]]]]))))))]])])
[([([[(((([((((([([([(,)])])])))))]))))]])])]
[[([((([(((((([((((,))))]))))))])))])]]
[[[([[([[[(([,]))]]])]])]]]
([[([([[[([[([[[(,)]]])]])]]])])]])
[[[([(([(([(([[((([[[,]]])))]]))]))]))])]]]
[(([(([[((((([(([[(,)]]))])))))]]))]))]
[(([[((((([([([[[([,])]]])])])))))]]))]
[((([(([[((([,])))]]))])))]
[((((((((((([([[((((([([(([[,]]))])])))))]])])))))))))))]
[(([[[([[([[[[[(,)]]]]])]])]]]))]
[[[(([((([([[(((([,]))))]])])))]))]]]
[[[[[[[[([[[[(((,)))]]]])]]]]]]]]
[[[[((([(([[[[(([[([((([(([([[,]])]))])))])]]))]]]]))])))]]]]
(((([[[[(([(,)]))]]]]))))
[[[[((([[[[([(,)])]]]])))]]]]
(([[([[[[([([[(((((([[[[,]]]]))))))]])])]]]])]]))
[[[([((([((([((((,))))])))])))])]]]
[[[([[(([([(([[([[([[,]])]])]]))])]))]])]]]
((((([([[[[[(([[[[[[[([((([,])))])]]]]]]]))]]]]])])))))
[(([([(((((([[[[[[[(([[[([[,]])]]]))]]]]]]]))))))])]))]
(((((([[[(([([[([[[[[[([[,]])]]]]]])]])]))]]]))))))
[[([[((([[[([([(((([((,))]))))])])]]])))]])]]
[[[[[[[((([(((,)))])))]]]]]]]
[(([[([[[(([(([[([[([(([[[,]]]))])]])]]))]))]]])]]))]
[[((([[[(((([([([[(([([((((,))))])]))]])])]))))]]])))]]
[[[(([((([[[([,])]]])))]))]]]
[[[(([[(([(([([([([(((([[[(((,)))]]]))))])])])]))]))]]))]]]
[([[([(([(((([[[[[[(((([[((([,])))]]))))]]]]]]))))]))])]])]
(([((([(((([[,]]))))])))]))
[[(((([([((((([,])))))])]))))]]
[(((([([(([[[[(,)]]]]))])]))))]
(([([[[(([[[[[,]]]]]))]]])]))
[[((([[([[[[([(([[(((([[[,]]]))))]]))])]]]])]])))]]
[[[[[[(([[((([([[[(([,]))]]])])))]]))]]]]]]
(([[((([[([[,]])]])))]]))
([[([([([(([((((,))))]))])])])]])
([[([[([[[([[[[([,])]]]])]]])]])]])
[[((((((([((([([[(,)]])])))])))))))]]
((([((((((([[,]])))))))])))
[([([[[([[((([((([,])))])))]])]]])])]
((([([(([(((((([[[[[([([((,))])])]]]]]))))))]))])])))
(([([([[([(([[((((((([[([[(((,)))]])]])))))))]]))])]])])]))
([[([([([[[([[([(,)])]])]]])])])]])
[[(([((([([[(([((,))]))]])])))]))]]
([([[[([[([[[[(([[[,]]]))]]]])]])]]])])
[[[([(((([[([([[([((((([[((,))]])))))])]])])]]))))])]]]
([([([[[[[[([([([[([[[[,]]]])]])])])]]]]]])])])
[((([[(([([[(,)]])]))]])))]
[[([[[((([[([(,)])]])))]]])]]
[([[([[[[([(([[([(([[,]]))])]]))])]]]])]])]
([((([[((([([[([([(([[([[,]])]]))])])]])])))]])))])
[((([[[((([[([(([(([([[(,)]])]))]))])]])))]]])))]
[[([[[([[(([,]))]])]]])]]
((([((((([[((([([((,))])])))]])))))])))
[[(([(([[([[[[(((,)))]]]])]]))]))]]
([[[([[([[((((([[((((([[([((,))])]])))))]])))))]])]])]]])
[[[([(((([[[[[([[([([([[[[,]]]])])])]])]]]]]))))])]]]
([(((([[(([([[[((([[[([[[(,)]]])]]])))]]])]))]]))))])
(([[([(((([(([(([(([,]))]))]))]))))])]]))
[[(([([((([[((,))]])))])]))]]
[[[([[[(([[(([[([((([,])))])]]))]]))]]])]]]
([(([([(([[([([[([([([([[[[[((,))]]]]])])])])]])])]]))])]))])
([([[[[[[[([([[([,])]])])]]]]]]])])
[(([[([([[([[[[[([[(((,)))]])]]]]])]])])]]))]
([([[[[(([([((([([(,)])])))])]))]]]])])
[[([(((((([[(([[([(([[([([,])])]]))])]]))]]))))))])]]
([[[[(([(((([(,)]))))]))]]]])
[(([((([([([([[[[([[([,])]])]]]])])])])))]))]
((([[[[(([,]))]]]])))
[[[[([[([[(([[[,]]]))]])]])]]]]
(([([[[[((([[((([[,]])))]])))]]]])]))
[((([[[[[(([[(([(([[(([[([((((,))))])]]))]]))]))]]))]]]]])))]
[[[(([[[[([((([([[([[[([[(,)]])]]])]])])))])]]]]))]]]
[([([(([[[((((,))))]]]))])])]
[((([[(([(([[([[[([((((([[,]])))))])]]])]]))]))]])))]
(([(([[(([((([[[([,])]]])))]))]]))]))
(([[([[((([[([([[(([[((([((,))])))]]))]])])]])))]])]]))
([([[[[[((([((((([([[(,)]])])))))])))]]]]])])
((([([((([[[(((([(([(([[[([[[,]]])]]]))]))]))))]]])))])])))
([([[([[([([((,))])])]])]])])
[((([([(([([(([[(,)]]))])]))])])))]
((([([[([[[[([[([(([([((([(,)])))])]))])]])]]]])]])])))
([[(([([([(([[([[([(((((([,]))))))])]])]]))])])]))]])
[[([[[[([[([[(([[[([[([[,]])]])]]]))]])]])]]]])]]
(((([([([([(([([[([[[((,))]]])]])]))])])])]))))
[[[[[([(([[(((([(([([[[[[((,))]]]]])]))]))))]]))])]]]]]
(((([(([(([[([(([(([([([(([([[,]])]))])])]))]))])]]))]))]))))
[[[[(([((((([[((([[,]])))]])))))]))]]]]
(((((([[(([[[[[([[(((([[[([,])]]]))))]])]]]]]))]]))))))
[[(([(([[([[[[[((([,])))]]]]])]]))]))]]
(([([[[([([(([[[[(,)]]]]))])])]]])]))
(((((([(([([[[,]]])]))]))))))
([[([(((([[(([(([[([((,))])]]))]))]]))))])]])
((([[[[([(([([([([,])])])]))])]]]])))
([([[(([([(([(((([(,)]))))]))])]))]])])
([((([[[(((((([[[[(([(([((([(,)])))]))]))]]]]))))))]]])))])
[[[[((([(([([[([[[(([([[((([([,])])))]])]))]]])]])]))])))]]]]
((((([[[((([[[([([[,]])])]]])))]]])))))
[[[[(([[[(((([(((([([[(([(((([,]))))]))]])]))))]))))]]]))]]]]
[(((([[(([([[[([[(,)]])]]])]))]]))))]
(((([[(([[([([[[([[,]])]]])])]]))]]))))
[[(([[[[[(([[[[([(([([([([[(,)]])])])]))])]]]]))]]]]]))]]
[[([([([([[[[([[([[,]])]])]]]])])])])]]
[[([[[[(([([[([[[[[((([,])))]]]]])]])]))]]]])]]
[[[[((((([[[[[((([[[([[([[[[(,)]]]])]])]]])))]]]]])))))]]]]
([(([[([[((([[((([[,]])))]])))]])]]))])
[(((([((([[([[[((((([[[[[[[((,))]]]]]]])))))]]])]])))]))))]
([((((([[([(((([[,]]))))])]])))))])
[[[[([[[((((((([[([(,)])]])))))))]]])]]]]
[[([[([[([([[([[(((([[((,))]]))))]])]])])]])]])]]
((((([[(([([([[[[[[([[[[([[(((,)))]])]]]])]]]]]])])]))]])))))
((([[[[([[([[([[[,]]])]])]])]]]])))
([([[[(([[([([([[((([,])))]])])])]]))]]])])
[(([[([([([([((([[([(,)])]])))])])])])]]))]
([(([(([[(([[([[[(([(((,)))]))]]])]]))]]))]))])
[([([[((([([(([([[[,]]])]))])])))]])])]
([[[[[[(([[[[(([[(,)]]))]]]]))]]]]]])
((([((([((([([[[[([[([((([,])))])]])]]]])])))])))])))
[(([[[[((([[[(([(([(([([[((,))]])]))]))]))]]])))]]]]))]
(([[[[[[(((([([[[,]]])]))))]]]]]]))
([[[[(([[[[(([((([[([[,]])]])))]))]]]]))]]]])
([[([(([(([([(((((((,)))))))])]))]))])]])
((((([[([[([[([([[,]])])]])]])]])))))
[([((([(([[[([([([(([((,))]))])])])]]]))])))])]
[(([((([[([[(([[[((([[(([,]))]])))]]]))]])]])))]))]
[([((([[((([[[([[([[(([[[[[,]]]]]))]])]])]]])))]])))])]
([(([[([[[[([[(([[([([,])])]]))]])]]]])]]))])
(([[(([((([[[[(((([[[([(,)])]]]))))]]]])))]))]]))
[[(([((([[([[((([[[[(,)]]]])))]])]])))]))]]
(([([[[[[([((([[,]])))])]]]]])]))
[([(((([[[([[[[([[(([[[(,)]]]))]])]]]])]]]))))])]
([[([([[(((([[[[[([([[([[(,)]])]])])]]]]]))))]])])]])
([((((([[((([[[[([[,]])]]]])))]])))))])
(([(((([([((([(,)])))])]))))]))
[[([(((([[[([[[[[(([[((([[[[(,)]]]])))]]))]]]]])]]]))))])]]
(((([[[[(((,)))]]]]))))
([([[[[(([([(((,)))])]))]]]])])
(([([[[([((([([[([[([(,)])]])]])])))])]]])]))
[([(([(([(([([[(([[((,))]]))]])]))]))]))])]
(([[[(([(([[([[([((([[,]])))])]])]]))]))]]]))
([[(((([([[([,])]])]))))]])
[([([(([(([((([[[[((,))]]]])))]))]))])])]
[[([[[[[[([(([([[[[([[[([[[(((,)))]]])]]])]]]])]))])]]]]]])]]
[(([([(([[([([[[[([[,]])]]]])])]]))])]))]
[([([((([([([(,)])])])))])])]
(([[(([[([[,]])]]))]]))
[(((([(([(([[([([[[(([[([[[[,]]]])]]))]]])])]]))]))]))))]
[([[([(([((((((([([[[[([((([[(,)]])))])]]]])])))))))]))])]])]
([[[([([[([(([[([,])]]))])]])])]]])
[([[[(([([[(((([(((,)))]))))]])]))]]])]
([[(([(([(([([([[((([[[[(,)]]]])))]])])]))]))]))]])
[([[[[(([[[[[[((([[[(([[,]]))]]])))]]]]]]))]]]])]
([([([[[[((((([([(([([(([((,))]))])]))])])))))]]]])])])
[[([[(([[[[[[[[([,])]]]]]]]]))]])]]
(((([((([[(([(((([[(([[[[,]]]]))]]))))]))]])))]))))
[([([(([[[[[[[([[[[(,)]]]])]]]]]]]))])])]
[[([(([([[[[(([(([,]))]))]]]])]))])]]
[((([[([[[[(([(([,]))]))]]]])]])))]
((([[[[(([([[[[[(((([[[((,))]]]))))]]]]])]))]]]])))
([[([[[[([([([(((([[([[[[[,]]]]])]]))))])])])]]]])]])
([([[[([(([[(((((,)))))]]))])]]])])
([[(([(([([((([(([(,)]))])))])]))]))]])
[[[[[([(((([((([[[,]]])))]))))])]]]]]
[(([[(((([([[[([(,)])]]])]))))]]))]
([(([(([[[([(((,)))])]]]))]))])
[([[(([[[[[(([([([[([(,)])]])])]))]]]]]))]])]
[(([((([[[[[((([[[([[[((,))]]])]]])))]]]]])))]))]
[[([([[[[(((((([([((((([[,]])))))])]))))))]]]])])]]
[([(([[(((([[[([[[([[[(,)]]])]]])]]]))))]]))])]
[([[[[[((([[(([[((((([([[((,))]])])))))]]))]])))]]]]])]
[(([[(([([([[[([[[([[([[[,]]])]])]]])]]])])]))]]))]
[[[((([([[[[(((([([,])]))))]]]])])))]]]
[([([[[(([[[(,)]]]))]]])])]
([[[[(([([(([[[[[[[([(((((,)))))])]]]]]]]))])]))]]]])
[(([([([[([[[[(([[((,))]]))]]]])]])])]))]
[([((((((([[[[([((([([,])])))])]]]])))))))])]
([[[([(([[[(((([([[[((([[((([[,]])))]])))]]])]))))]]]))])]]])
[[([(([([[([[[[(((([([[((,))]])]))))]]]])]])]))])]]
[([[[((([[([[[[((,))]]]])]])))]]])]
[[([[(([[([[[[((([[(([[(,)]]))]])))]]]])]]))]])]]
([(((([[(([([[[(,)]]])]))]]))))])
([[([(([([[[[(,)]]]])]))])]])
(([[(((([((([(,)])))]))))]]))
[((([([(([(((((([([[([[,]])]])]))))))]))])])))]
(([[([([([[[((([[[[[[(,)]]]]]])))]]])])])]]))
[(((([([[[[[(([[([[[[((,))]]]])]]))]]]]])]))))]
(([[[[([[((((([[[(([(,)]))]]])))))]])]]]]))
[[[((([[((([[(([((([[([[(,)]])]])))]))]])))]])))]]]
(([[[((([([[[[((((([[[[[([,])]]]]])))))]]]])])))]]]))
